txn_id,timestamp_day,src_account_id,dst_account_id,amount,typology
0,6,1886,2708,2680.65,fan_in
1,89,1087,2708,4255.66,fan_in
2,35,2826,2708,2811.48,fan_in
3,67,4667,2708,4707.8,fan_in
4,18,3633,2708,3261.86,fan_in
5,35,1495,2708,1423.77,fan_in
6,68,816,2708,4362.78,fan_in
7,20,3241,2708,2586.21,fan_in
8,82,1554,2708,1983.92,fan_in
9,35,3707,2708,2966.44,fan_in
10,50,2649,2708,4580.66,fan_in
11,72,3003,2708,1280.46,fan_in
12,66,3418,2708,2869.09,fan_in
13,51,2183,2708,3457.13,fan_in
14,51,947,2708,2594.58,fan_in
15,40,2597,2708,2887.52,fan_in
16,27,1321,2708,3003.93,fan_in
17,52,2617,2708,2888.58,fan_in
18,70,1990,2708,3982.59,fan_in
19,73,4915,2708,2365.51,fan_in
20,58,4706,2708,4414.6,fan_in
21,72,3438,2708,1613.97,fan_in
22,7,1543,2708,2141.25,fan_in
23,52,2065,2708,3956.69,fan_in
24,32,1385,2708,3685.61,fan_in
25,21,3492,2708,2020.5,fan_in
26,43,4534,2708,4794.59,fan_in
27,46,1734,2708,2525.23,fan_in
28,5,4687,2708,4947.78,fan_in
29,78,4556,2708,4499.4,fan_in
30,16,2416,2708,4278.63,fan_in
31,14,3365,2708,1128.6,fan_in
32,84,1467,2708,4482.93,fan_in
33,35,3474,2708,3755.01,fan_in
34,60,4082,2708,2551.46,fan_in
35,47,2925,2708,4249.19,fan_in
36,50,4767,2708,2873.62,fan_in
37,63,2577,2708,4569.94,fan_in
38,27,1790,2708,1681.57,fan_in
39,20,2326,2708,3571.22,fan_in
40,72,4133,2708,1989.03,fan_in
41,87,1393,2708,1998.68,fan_in
42,74,2633,2708,4442.25,fan_in
43,86,1368,3708,3012.71,fan_in
44,20,745,3708,4963.49,fan_in
45,36,2214,3708,3225.94,fan_in
46,1,2809,3708,3049.16,fan_in
47,83,4126,3708,2421.13,fan_in
48,72,1302,3708,2641.37,fan_in
49,38,4611,3708,3963.26,fan_in
50,15,797,3708,4138.84,fan_in
51,27,3487,3708,2573.83,fan_in
52,12,685,3708,4571.62,fan_in
53,80,2654,3708,2195.04,fan_in
54,0,109,3708,3220.17,fan_in
55,3,2472,3708,2088.18,fan_in
56,30,3679,3708,2840.15,fan_in
57,71,4533,3708,3118.5,fan_in
58,23,4797,4452,3301.18,fan_in
59,63,2077,4452,1372.44,fan_in
60,27,1173,4452,1699.91,fan_in
61,75,91,4452,4059.25,fan_in
62,77,696,4452,4131.05,fan_in
63,32,1438,4452,1825.09,fan_in
64,69,1905,4452,2988.1,fan_in
65,16,2201,4452,1131.74,fan_in
66,85,603,4452,3896.05,fan_in
67,20,2488,4452,4349.53,fan_in
68,9,121,4452,4528.31,fan_in
69,7,4801,4452,4190.07,fan_in
70,81,3106,4452,3793.71,fan_in
71,78,1911,4452,3696.61,fan_in
72,51,4237,4452,3611.15,fan_in
73,47,3249,4452,4676.44,fan_in
74,55,1242,4452,2263.06,fan_in
75,2,4246,3353,4779.22,fan_in
76,6,2062,3353,2781.06,fan_in
77,7,2865,3353,4364.48,fan_in
78,60,1843,3353,4964.0,fan_in
79,25,4400,3353,4198.05,fan_in
80,14,1936,3353,4549.69,fan_in
81,13,308,3353,4016.36,fan_in
82,4,201,3353,2418.9,fan_in
83,59,1857,3353,3056.19,fan_in
84,58,3931,3353,2038.97,fan_in
85,47,1667,3353,1467.79,fan_in
86,12,2055,3353,1413.29,fan_in
87,8,1142,3353,2405.64,fan_in
88,57,1416,3353,1866.53,fan_in
89,62,4774,2279,3747.4,fan_in
90,64,4266,2279,4739.83,fan_in
91,48,4979,2279,2541.66,fan_in
92,48,3078,2279,1300.56,fan_in
93,75,1203,2279,3959.32,fan_in
94,20,1043,2279,4386.39,fan_in
